Anno,Sede,NoPaises,LugarMéxico
1988,Australia,49,37
1989,Re. Fed. de Alemania,50,31
1990,Re. Popular de China,54,36
1991,Suecia,55,35
1992,Rusia,56,49
1993,Turquía,73,63
1994,Hong Kong,69,65
1995,Canadá,74,59
1996,India,75,53
1997,Argentina,82,32
1998,Taiwán,75,44
1999,Rumania,81,52
2000,Corea,82,30
2001,Estados Unidos,83,46
2002,Escocia,84,46
2003,Japón,82,41
2004,Grecia,84,37
2005,México,91,31
2006,Eslovenia,90,24
2007,Vietnam,92,37
2008,España,97,37
2009,Alemania,104,50
2010,Kazajistán,97,33
2011,Holanda,101,22
2012,Argentina,100,31
2013,Colombia,97,17
2014,Sudáfrica,101,26
2015,Tailandia,104,19
2016,Hong Kong,109,23
2017,Brasil,112,43
2018,Rumania,107,36
2019,Reino Unido,112,41
2020,Rusia,105,45
2021,Rusia,107,36
2022,Noruega,104,23
2023,Japón,112,14
2024,Reino Unido,108,24
2025,Australia,110,31
